tc_true,t1,t2,dt,observations,tc_predicted,tc_days_after_t2,check_pass,RMSE,A,B,C1,C2,C,m,omega,phi,optimizer_success
2007-06-01,2006-03-15,2006-09-11,125,126,2007-03-27,197,True,0.015128351519232397,5.782235374045794,-2.0413700498995286e-05,3.8964998297215044e-05,-0.00023592558432756886,0.00023912162686090687,0.9,12.630355531443731,-1.4071158967785784,True
2007-06-01,2006-01-04,2006-09-11,175,176,2007-04-10,211,False,0.013869698088274846,5.646811953182243,0.051445990492705915,0.0028662072069002044,0.013816154967292112,0.014110325362411639,0.16771561241024036,13.0,1.366244493489895,True
2007-06-01,2005-10-25,2006-09-11,225,226,2006-11-19,69,True,0.014778502790394535,5.8073124629110655,-0.00089402665992688,0.00031957709180244003,0.0010917247549179646,0.0011375378930416318,0.6855395375515342,6.0,1.2860254791967767,True
2007-06-01,2005-08-16,2006-09-11,275,276,2006-12-02,82,True,0.015572848718499744,5.820365311976336,-0.0009363560516914397,-0.00011546792145149641,0.0008189939896970854,0.0008270937045125411,0.7344571717998387,6.0,1.71086066131129,True
2007-06-01,2005-06-07,2006-09-11,325,326,2007-02-02,144,True,0.017886847910569634,6.586889025140293,-0.3952890951625844,-0.023217969649432027,-0.003948915061574944,0.023551391568344324,0.12918146811017917,6.0,-2.973124628010814,True
2007-06-01,2005-03-29,2006-09-11,375,376,2007-04-12,213,True,0.021528527950554693,7.525229474252851,-0.9790359858908878,0.002648652123981271,-0.027628514395139248,0.027755182682812362,0.1,6.0,-1.47522178835796,True
2007-06-01,2005-01-14,2006-09-11,425,426,2007-04-25,226,True,0.021059187624460022,7.627328413938443,-1.0322761862665388,0.00874118990395412,-0.02590341629030435,0.027338532814432347,0.1,6.0,-1.245342514678625,True
2007-06-01,2004-11-03,2006-09-11,475,476,2007-06-28,290,True,0.02204651360929646,8.040724915323787,-1.2426377461767233,0.024844235466646686,-0.00720435560477542,0.025867716861026683,0.1,6.0,-0.28223987206867696,True
2007-06-01,2004-08-25,2006-09-11,525,526,2007-11-16,431,True,0.023065145479988638,8.604038324881241,-1.5125652288918259,0.009493995224660767,0.024694741473081414,0.026456874376014423,0.1,6.0,1.203762979320104,True
2007-06-01,2004-06-16,2006-09-11,575,576,2008-01-03,479,True,0.023438042935855205,8.788023401852822,-1.599267112929835,-0.001815375743275588,0.027252960343399107,0.027313356376838013,0.1,6.0,1.6373101221769752,True
2007-06-01,2006-04-12,2006-10-09,125,126,2007-10-04,360,False,0.016666734474417817,5.677523539243209,0.0005102895106180178,3.9890395584943924e-05,0.00022238017353666558,0.0002259296024033168,0.9,13.0,1.393304692656722,True
2007-06-01,2006-02-01,2006-10-09,175,176,2007-06-22,256,True,0.015583904459573781,5.842823942531684,-0.0002843648160095904,-0.00012818319101431952,-0.00014160766135737972,0.00019100696378331302,0.9,13.0,-2.3064766911383647,True
