tc_true,t1,t2,dt,observations,tc_predicted,tc_days_after_t2,global_tc_upper_date,check_pass,RMSE,A,B,C1,C2,C,m,omega,phi,optimizer_success
2022-01-05,2020-10-21,2021-04-22,125,126,2023-04-17,725,2023-05-12,True,0.01614365673616225,16.83885349841413,-0.02688987727604566,-0.002937757477862889,-0.002519487809430508,0.003870172841180128,0.9,6.0,-2.4326897710760647,True
2022-01-05,2020-10-07,2021-04-22,135,136,2021-08-04,104,2023-05-12,True,0.018687770767021984,6.191898950082939,-0.0016535323057178788,2.574582439859971e-05,-0.00013594705887400377,0.00013836347166234077,0.9,10.267616921100682,-1.3836316361373502,True
2022-01-05,2020-09-23,2021-04-22,145,146,2021-08-18,118,2023-05-12,True,0.01818928518430562,6.204084077477958,-0.0016518349474828658,-7.309800338323449e-05,-0.00010524439443124554,0.00012813937980892114,0.9,11.159933435020735,-2.177858464225203,True
2022-01-05,2020-09-09,2021-04-22,155,156,2021-09-06,137,2023-05-12,True,0.0183696207351417,6.216707305967566,-0.0016173935942148659,-7.617057524644246e-05,0.00010739638848071941,0.0001316660198839304,0.9,12.931009172857534,2.187701464140072,True
2022-01-05,2020-08-26,2021-04-22,165,166,2021-09-02,133,2023-05-12,True,0.018030165687074103,6.210145746672525,-0.0015892778151356901,5.3824690054173855e-06,0.00014322359105500322,0.00014332469433871148,0.9,12.849526882718155,1.5332331210197097,True
2022-01-05,2020-08-12,2021-04-22,175,176,2021-08-28,128,2023-05-12,True,0.0177208186511565,6.201793512791734,-0.001556808501212577,0.0001396259661958453,-7.189613794647914e-05,0.00015704924414890536,0.9,12.53644373054117,-0.475511875282789,True
2022-01-05,2020-07-29,2021-04-22,185,186,2021-08-25,125,2023-05-12,True,0.01740036622733564,6.20072985709239,-0.0015686739675024007,6.799016464806016e-05,-0.00013846907708794966,0.00015426064889808701,0.9,12.450413617731497,-1.1143638534303952,True
2022-01-05,2020-07-15,2021-04-22,195,196,2021-04-23,1,2023-05-12,True,0.017579681996265698,6.087153492068515,-0.0017102709238376176,-0.00010637459419287639,-0.00033597730644562105,0.00035241496099932233,0.8627627174717739,6.299145778772942,-1.8774233593194252,True
2022-01-05,2020-07-01,2021-04-22,205,206,2021-04-23,1,2023-05-12,True,0.017224630589046823,6.087303846627413,-0.0016898707078758881,-5.376157124189687e-05,-0.00034261205509070284,0.00034680445042685416,0.8652093718901205,6.327297884152254,-1.7264438652901695,True
2022-01-05,2020-06-17,2021-04-22,215,216,2021-04-23,1,2023-05-12,True,0.017024452229466986,6.086497656400848,-0.0015864591930840506,5.139996517409097e-05,-0.00031908743940066523,0.0003232007896079014,0.8771466094426442,6.392102320906161,-1.4110840445799366,True
2022-01-05,2020-06-03,2021-04-22,225,226,2021-04-23,1,2023-05-12,True,0.01757203141013912,6.0898071940726615,-0.002142844753788838,-0.00042279432899143397,3.459439960372217e-05,0.0004242072808324474,0.821700876628882,6.034125904222079,3.0599512921979692,True
2022-01-05,2020-05-18,2021-04-22,235,236,2021-04-23,1,2023-05-12,True,0.017816325245199223,6.085060489848172,-0.001438438190963436,0.00010249358454208514,-0.00028847028034833887,0.0003061372854072741,0.893851717028721,6.425963781737836,-1.2294074394939092,True
2022-01-05,2020-05-04,2021-04-22,245,246,2021-04-24,2,2023-05-12,True,0.018228937138868487,6.087123467056151,-0.0014074248058579912,0.0002614014927231476,0.0001572551654982456,0.0003050572527801468,0.9,6.752746834989394,0.5415839818722129,True
2022-01-05,2020-04-17,2021-04-22,255,256,2021-04-23,1,2023-05-12,True,0.0182379873205214,6.085040698085848,-0.0013977599563348884,0.00026841384486952,-0.00013276598106970979,0.0002994541665214249,0.9,6.575167225928352,-0.45934370790157586,True
2022-01-05,2020-04-01,2021-04-22,265,266,2021-04-30,8,2023-05-12,True,0.01832756714772083,6.091336873600118,-0.001402358718239036,0.00013127308840608223,0.00026131243522268947,0.00029243257777081434,0.9,6.820595957038153,1.1052619706207583,True
2022-01-05,2020-03-18,2021-04-22,275,276,2021-04-24,2,2023-05-12,True,0.020781448112447646,6.088907975700185,-0.0014350458269905622,0.00030275384249252394,0.00014202220636464304,0.0003344102215014805,0.9,6.734411988831337,0.43862449646920143,True
2022-01-05,2020-03-04,2021-04-22,285,286,2021-08-10,110,2023-05-12,True,0.031830319383116,6.237056452653594,-0.007261011570592232,-0.000712893910002311,-0.00021785939344252697,0.0007454397643200481,0.6565356671691881,11.10404068576524,-2.8450074600250197,True
