t1,t2,window_dt_requested,observations,window_calendar_days,tc_predicted,tc_days_after_t2,tc_search_upper_days_after_t2,tc_valid_upper_days_after_t2,positive_lppls_valid,RMSE,SSE,A,B,C1,C2,C,m,omega,phi,damping,optimizer_success
2006-09-28,2007-03-21,120,121,174.0,2007-05-18,58,58.0,34.800000000000004,False,0.01571242997741696,0.029872535151222967,6.275705701648532,-0.23013590113533194,-0.013979321876147227,-9.036977785929941e-05,0.01397961397226972,0.1,6.0,-3.135128211334644,0.27437083454978894,True
2006-09-14,2007-03-21,130,131,188.0,2007-03-31,10,62.66666666666666,37.6,False,0.018684623158188123,0.04573408367581849,5.941020648438814,-0.0008019352001240018,-0.00010359719955379968,0.00015036249102459638,0.00018259588840527493,0.9,13.0,2.1740899970484704,0.30405170271189774,True
2006-08-31,2007-03-21,140,141,202.0,2007-05-27,67,67.33333333333331,40.400000000000006,False,0.017956471280638358,0.04546331538018701,5.978440321104544,-0.0009524862671983746,-3.460763462616843e-05,-0.00014443940014910027,0.00014852753512345878,0.9,10.355726043055503,-1.8059627594856662,0.5573316486504887,True
2006-08-17,2007-03-21,150,151,216.0,2007-06-01,72,72.0,43.2,False,0.0172606650511996,0.04498751425946521,5.981734292143161,-0.0009619206736979881,0.00014665146808026484,2.2051383588137392e-05,0.0001483000897108566,0.9,10.669774518040608,0.1492478008291195,0.5471231772413797,True
2006-08-03,2007-03-21,160,161,230.0,2007-06-05,76,76.66666666666663,46.0,False,0.016963226563095537,0.04632791992437652,5.988630869288764,-0.0010127172207663269,0.00010014899888134631,0.00011170684223164972,0.00015002746607972349,0.9,10.716552677008092,0.8398993623791847,0.5668978725262652,True
2006-07-20,2007-03-21,170,171,244.0,2007-06-10,81,81.33333333333331,48.800000000000004,False,0.017075837651631637,0.0498609035873346,5.996433724359244,-0.0010697135405149287,6.923545959800485e-05,0.00012776348632672951,0.00014531709226414956,0.9,10.673893485136425,1.0741906087607134,0.6206838405702693,True
2006-07-06,2007-03-21,180,181,258.0,2007-06-15,86,86.0,51.6,False,0.01764377682391855,0.056345817770816424,6.004953646740025,-0.0011306900260428304,6.888888984456141e-05,0.0001232663192435109,0.00014121000178407783,0.9,10.583969934117588,1.0611745727592856,0.6808822531577533,True
2006-06-22,2007-03-21,190,191,272.0,2007-06-17,88,90.66666666666663,54.400000000000006,False,0.017841372116407583,0.06079808076826007,6.010491990082206,-0.001171216632252761,0.00010678144954010289,7.899745139490988e-05,0.00013282648565996424,0.9,10.45371310772225,0.6369443227418613,0.7591445547566574,True
2006-06-08,2007-03-21,200,201,286.0,2007-05-12,52,95.33333333333331,57.2,False,0.018615526549502614,0.06965410357176258,5.987482362214924,-0.0011786423597323378,-9.213806449484498e-05,-0.00011623751911840746,0.00014832593764968537,0.9,7.8660209951693885,-2.241052119301428,0.909185186525303,True
2007-02-13,2007-03-27,30,31,42.0,2007-04-10,14,14.0,8.4,False,0.012221934010525098,0.004630645799686534,5.907232966942433,-0.00010116642096418379,-7.206243570165607e-05,-0.0011293800393567084,0.0011316767506388983,0.9,6.0,-1.6345170181860542,0.013409273572210797,True
