t1,t2,dt,observations,tc_predicted,tc_days_after_t2,global_tc_upper_date,lppls_valid,RMSE,SSE,A,B,C1,C2,C,m,omega,phi,damping,optimizer_success,window_dt_requested
2006-09-29,2007-03-29,126,126,2007-06-06,69,2008-08-10,False,0.014292676790861165,0.025739356840850696,6.308233021232369,-0.24690514887455614,-0.007662605241683669,-0.011120156568169455,0.01350456964106892,0.1,6.0,-2.1741513677898223,0.30471802685673866,True,125
2006-08-25,2007-03-29,151,151,2008-06-15,444,2008-08-10,False,0.015060241096695006,0.03424844014547777,4.84679837995165,0.5211207086164646,0.0448041294199682,-0.036687220466077544,0.057908221856726345,0.1,6.0,-0.6861210642773531,0.1499846630603957,True,150
2006-07-21,2007-03-29,176,176,2008-07-29,488,2008-08-10,False,0.014241364939553965,0.035695699660114016,4.8270168538234275,0.5206843927553366,0.0627837176991213,-0.009616923541371308,0.06351598559830068,0.1,6.0,-0.15199405577140807,0.13662817526712706,True,175
2006-06-16,2007-03-29,201,201,2008-08-01,491,2008-08-10,False,0.01431228658184777,0.041173150987388885,5.786498717349018,0.013169865803947793,0.05801164746288996,0.00032570468285260043,0.058012561785350074,0.1,6.0,0.00561441149913432,0.0037836247296108845,True,200
2006-05-12,2007-03-29,226,226,2008-07-22,481,2008-08-10,False,0.016418669480470962,0.0609234318970224,5.4325365434503405,0.0012866204588162138,0.0004289798448942432,-0.00027234427058836594,0.000508129027952348,0.9,6.0,-0.5656617859425306,0.37981114678717165,True,225
2006-04-04,2007-03-29,251,251,2008-08-10,500,2008-08-10,False,0.019494287791469382,0.09538684138065467,4.924767543515377,0.0028197368875761243,0.0006732937319639993,-0.00037178878937490166,0.0007691237568862795,0.9,6.0,-0.504526137738807,0.5499251964972868,True,250
2006-02-28,2007-03-29,276,276,2008-08-10,500,2008-08-10,False,0.02042347095153603,0.11512461373547314,6.080512569598162,-0.0006568709933694185,-7.092909506239354e-05,0.00011414404046248868,0.00013438674971689846,0.9,12.197817426773582,2.1268026147268086,0.3606484042540549,True,275
2006-01-24,2007-03-29,301,301,2007-05-15,47,2008-08-10,False,0.02021954047270525,0.12305777489513706,5.969035898077041,-0.0009672475109708946,0.0002627896645607554,1.9151894245163325e-05,0.0002634866274654793,0.9,8.317890264530739,0.0727505562295958,0.39719919991514635,True,300
2005-12-19,2007-03-29,326,326,2008-04-23,391,2008-08-10,False,0.020362375449636375,0.13516818486833707,6.148860819067648,-0.001006536769285855,3.705848816643649e-05,-0.00011738135333248608,0.00012309229730307194,0.9,13.0,-1.2649895605333303,0.5661062172326033,True,325
2005-11-14,2007-03-29,351,351,2008-04-25,393,2008-08-10,False,0.019681331332954057,0.13596153586616921,6.148780648133806,-0.0010030687680514679,4.20321565511261e-05,-0.00011461073061405346,0.00012207506607094467,0.9,13.0,-1.2192882976491284,0.5688567259362023,True,350
2005-10-10,2007-03-29,376,376,2008-04-25,393,2008-08-10,False,0.019389808226739073,0.14136271331421404,6.148197864649496,-0.0010009699867573301,4.2107177898999346e-05,-0.00011385747909634516,0.00012139415132860667,0.9,13.0,-1.2165716132583224,0.5708505838352752,True,375
2005-09-05,2007-03-29,401,401,2007-06-12,75,2008-08-10,False,0.02024521128670407,0.16435730059735926,6.136095788404176,-0.035360121112083,-0.0037438149053543104,0.0006003583818281755,0.003791646111148092,0.38512326315071266,9.74436009830212,2.9825863388606,0.36858051765058514,True,400
