Date,Close,log_price,tc_literature,tc_gsadf,tc_drawdown
2004-04-26,247.07000732421875,5.509671726931575,0,0,0
2004-04-27,246.9199981689453,5.509064390110116,0,0,0
2004-04-28,243.3800048828125,5.494624027971159,0,0,0
2004-04-29,241.25,5.485833740219095,0,0,0
2004-04-30,239.0500030517578,5.476672747838303,0,0,0
2004-05-03,240.38999938964844,5.482262601919083,0,0,0
2004-05-04,241.33999633789065,5.486206712471388,0,0,0
2004-05-05,242.38999938964844,5.490547996700716,0,0,0
2004-05-06,239.1999969482422,5.477300009318292,0,0,0
2004-05-07,239.3500061035156,5.477926941338897,0,0,0
2004-05-10,232.9900054931641,5.450995557766564,0,0,0
2004-05-11,235.52999877929688,5.461838288695481,0,0,0
2004-05-12,233.1300048828125,5.451596258833852,0,0,0
2004-05-13,235.52999877929688,5.461838288695481,0,0,0
2004-05-14,234.0399932861328,5.455492012233199,0,0,0
2004-05-17,230.6000061035156,5.440684634302936,0,0,0
2004-05-18,232.2899932861328,5.447986562163788,0,0,0
2004-05-19,236.1499938964844,5.464467170496199,0,0,0
2004-05-20,234.6699981689453,5.458180264131824,0,0,0
2004-05-21,234.4900054931641,5.45741296647982,0,0,0
2004-05-24,235.72999572753903,5.462687064159472,0,0,0
2004-05-25,234.4199981689453,5.4571143704840335,0,0,0
2004-05-26,236.50999450683597,5.465990467110244,0,0,0
2004-05-27,237.72000122070312,5.471093515633505,0,0,0
2004-05-28,236.92999267578125,5.467764707945378,0,0,0
2004-06-01,235.75,5.462771921513567,0,0,0
2004-06-02,236.6100006103516,5.466413218657578,0,0,0
2004-06-03,237.4600067138672,5.469999216511322,0,0,0
2004-06-04,239.1699981689453,5.477174588494902,0,0,0
2004-06-07,240.8000030517578,5.483966726108079,0,0,0
2004-06-08,241.4600067138672,5.486703855709539,0,0,0
2004-06-09,241.5800018310547,5.487200688756628,0,0,0
2004-06-10,241.94000244140625,5.48868977162266,0,0,0
2004-06-11,241.6499938964844,5.487490373033424,0,0,0
2004-06-14,238.1999969482422,5.473110644109454,0,0,0
2004-06-15,239.9600067138672,5.480472270764002,0,0,0
2004-06-16,242.3500061035156,5.490382987476099,0,0,0
2004-06-17,242.72999572753903,5.491949696886157,0,0,0
2004-06-18,243.0,5.493061443340548,0,0,0
2004-06-21,242.7100067138672,5.491867342677263,0,0,0
2004-06-22,240.19000244140625,5.481430286970372,0,0,0
2004-06-23,241.0200042724609,5.484879935325829,0,0,0
2004-06-24,242.00999450683597,5.488979024918906,0,0,0
2004-06-25,242.0399932861328,5.489102974015452,0,0,0
2004-06-28,243.6000061035156,5.495527560891224,0,0,0
2004-06-29,242.47999572753903,5.490919215129699,0,0,0
2004-06-30,240.8600006103516,5.484215854366385,0,0,0
2004-07-01,240.0800018310547,5.480972208758964,0,0,0
2004-07-02,238.44000244140625,5.474117716590806,0,0,0
2004-07-05,238.3000030517578,5.473530396911066,0,0,0
2004-07-06,237.0800018310547,5.468397644643,0,0,0
2004-07-07,236.7400054931641,5.46696251572911,0,0,0
2004-07-08,237.44000244140625,5.469914970261218,0,0,0
2004-07-09,237.32000732421875,5.469409472252648,0,0,0
2004-07-12,236.3300018310547,5.465229141140068,0,0,0
2004-07-13,236.6999969482422,5.466793503627002,0,0,0
2004-07-14,236.22999572753903,5.464805888619646,0,0,0
2004-07-15,233.8000030517578,5.454466062090824,0,0,0
2004-07-16,234.32000732421875,5.456687733776812,0,0,0
2004-07-19,233.13999938964844,5.451639128873725,0,0,0
2004-07-20,233.52999877929688,5.4533105432863564,0,0,0
2004-07-21,235.80999755859372,5.4630263856718,0,0,0
2004-07-22,232.1999969482422,5.447599056120993,0,0,0
2004-07-23,232.8000030517578,5.450179728966208,0,0,0
2004-07-26,230.7100067138672,5.4411615396784105,0,0,0
2004-07-27,232.6699981689453,5.449621132769452,0,0,0
2004-07-28,233.4499969482422,5.45296790834452,0,0,0
2004-07-29,236.08999633789065,5.464213072748625,0,0,0
2004-07-30,236.3999938964844,5.465525259713349,0,0,0
2004-08-02,236.13999938964844,5.464424846894262,0,0,0
2004-08-03,236.80999755859372,5.467258121538373,0,0,0
2004-08-04,234.8999938964844,5.459159865681403,0,0,0
2004-08-05,235.2899932861328,5.46081876735825,0,0,0
2004-08-06,229.97000122070312,5.437948870941328,0,0,0
2004-08-09,228.00999450683597,5.429389463549989,0,0,0
2004-08-10,229.3999938964844,5.435467178088837,0,0,0
2004-08-11,227.7700042724609,5.428336366629558,0,0,0
2004-08-12,227.3500061035156,5.4264907071173605,0,0,0
2004-08-13,226.57000732421875,5.423053980275879,0,0,0
2004-08-16,228.7400054931641,5.4325860113679525,0,0,0
2004-08-17,229.05999755859372,5.4339839673112005,0,0,0
2004-08-18,229.16000366210935,5.434420465520955,0,0,0
2004-08-19,229.66000366210935,5.4365999702938295,0,0,0
2004-08-20,229.08999633789065,5.434114923459795,0,0,0
2004-08-23,232.1699981689453,5.44746985406378,0,0,0
2004-08-24,231.8800048828125,5.446220017529029,0,0,0
2004-08-25,232.55999755859372,5.449148245752657,0,0,0
2004-08-26,234.4499969482422,5.457242332518927,0,0,0
2004-08-27,236.2400054931641,5.4648482606881394,0,0,0
2004-08-30,235.88999938964844,5.463365592084093,0,0,0
2004-08-31,233.6300048828125,5.4537386882656325,0,0,0
2004-09-01,235.2100067138672,5.460478760671592,0,0,0
2004-09-02,236.1100006103516,5.464297800713903,0,0,0
