t1,t2,window_dt_requested,observations,window_calendar_days,tc_predicted,tc_days_after_t2,tc_search_upper_days_after_t2,tc_valid_upper_days_after_t2,positive_lppls_valid,RMSE,SSE,A,B,C1,C2,C,m,omega,phi,damping,optimizer_success
2006-01-17,2006-11-03,205,206,290.0,2007-02-07,96,96.66666666666663,58.0,False,0.01785584492608598,0.06567922679303267,5.895831235194055,-0.0008278877631259193,-2.4798830690135367e-05,-0.0003507089990045212,0.0003515846754145454,0.9,6.240254533754735,-1.6413893913098998,0.33961098641109966,True
2005-12-19,2006-11-03,225,226,319.0,2007-02-17,106,106.33333333333331,63.800000000000004,False,0.017314275443050114,0.06775121431062467,5.896542548369404,-0.0007919721248785555,0.00020576832738712113,-0.0002503585863696817,0.00032406793473702215,0.9,6.324713534803903,-0.8828469680259875,0.3477566825254794,True
2005-11-21,2006-11-03,245,246,347.0,2007-02-26,115,115.66666666666663,69.4,False,0.016997686894768722,0.07107465450405773,5.916497080959022,-0.002702703339895862,0.0003653140020196077,0.0007940122071191336,0.0008740192818958743,0.7003427340717898,6.640762307719302,1.1395865021697458,0.32611446000457717,True
2005-10-24,2006-11-03,265,266,375.0,2007-03-08,125,125.0,75.0,False,0.016600704233963405,0.07330517936289911,5.922421996387516,-0.003098014643768711,-0.0009246689990805241,0.00022914309676232765,0.0009526380827231335,0.6787737223142374,6.909814089661733,2.898675338089032,0.3194583068585624,True
2005-09-26,2006-11-03,285,286,403.0,2007-03-17,134,134.33333333333326,80.60000000000001,False,0.017283027686190784,0.08542907115646822,5.967174174458024,-0.013987599532732365,0.0024368903555127734,0.0019837371502264976,0.0031422360964733246,0.4561819675134166,7.589649016384166,0.6832461759542567,0.267559760300944,True
2005-08-29,2006-11-03,305,306,431.0,2007-03-26,143,143.66666666666663,86.2,False,0.01692151688981924,0.08761934655884596,5.979574640402604,-0.01710270114893705,-0.0034095937209599825,0.0011281050760015045,0.003591371660592941,0.429368326269093,7.920827220549772,2.8220679250646086,0.25814506073336396,True
2005-08-01,2006-11-03,325,326,459.0,2007-04-05,153,153.0,91.80000000000001,False,0.01651099743026013,0.08887184978231047,5.9780293245535265,-0.014070604154344525,-0.0024222157472307375,-0.0017157525924728842,0.0029683220992186786,0.45974106319010394,8.037967064454426,-2.5252911971555303,0.27112451825901485,True
2005-07-04,2006-11-03,345,346,487.0,2007-04-09,157,162.33333333333326,97.4,False,0.017056639098702187,0.10066141232080814,5.987479269425626,-0.012910790958155333,-0.0014204415514895432,0.00209609316104879,0.002532046749369673,0.48215313265387294,7.741929280236474,2.1663721343401483,0.31755351369065415,True
2005-06-06,2006-11-03,365,366,515.0,2007-02-20,109,171.66666666666663,103.0,False,0.017917799882464305,0.11750340426186184,5.970058726202449,-0.013477300476661716,0.0007065014243974807,-0.0027164894650839565,0.0028068593261130472,0.47494221858964913,6.238243138544866,-1.3163544233466877,0.36556174593454127,True
2005-05-09,2006-11-03,385,386,543.0,2007-03-11,128,181.0,108.60000000000001,False,0.020434212007259072,0.16117700985803776,5.997546606700395,-0.012001825434407863,-0.0012624570902318036,-0.0017037832096841149,0.0021205365194398463,0.5130323673358294,6.0,-2.2084949782587198,0.4839439499169871,True
