t2,total_fits,valid_fits,mean_tc,median_tc,mean_rmse,positive_bubble_confidence
2007-12-07,23,0,2008-05-06 11:28:41.739130368,2008-05-11,0.027251618720146892,0.0
2007-12-14,23,0,2008-05-11 01:02:36.521739008,2008-05-18,0.027118300757545347,0.0
2007-12-21,23,0,2008-05-08 02:05:13.043478272,2008-05-25,0.027343247104590438,0.0
2008-01-03,23,0,2008-05-29 02:05:13.043478272,2008-06-28,0.026836106937144468,0.0
2008-01-10,23,0,2008-06-02 15:39:07.826086912,2008-07-05,0.02754489695533697,0.0
2008-01-17,23,0,2008-06-27 20:52:10.434782720,2008-07-30,0.028947435500437765,0.0
2008-01-24,23,0,2008-06-18 03:07:49.565217280,2008-08-06,0.032948147602128317,0.0
2008-01-31,23,0,2008-07-04 21:54:46.956521728,2008-08-23,0.03454138554447517,0.0
2008-02-07,23,0,2008-07-03 18:46:57.391304448,2008-08-30,0.03595079595921911,0.0
2008-02-14,23,0,2008-07-11 02:05:13.043478272,2008-09-06,0.03717700170268477,0.0
2008-02-21,23,0,2008-07-23 10:26:05.217391360,2008-09-13,0.03761806875464288,0.0
2008-02-28,23,0,2008-08-09 22:57:23.478260992,2008-09-20,0.03726792093366107,0.0
2008-03-06,23,0,2008-08-09 14:36:31.304347904,2008-09-17,0.03803958641516011,0.0
2008-03-13,23,0,2008-09-01 17:44:20.869565184,2008-10-04,0.03785822963021258,0.0
2008-03-20,23,0,2008-09-08 07:18:15.652173824,2008-10-11,0.03858328403004823,0.0
2008-03-31,23,0,2008-09-29 08:20:52.173913088,2008-10-23,0.03813737763506871,0.0
2008-04-07,23,0,2008-10-04 22:57:23.478260992,2008-10-30,0.03755211903142228,0.0
2008-04-14,23,0,2008-10-29 18:46:57.391304448,2008-11-06,0.03655029796721927,0.0
2008-04-21,23,0,2008-11-11 14:36:31.304347904,2008-11-13,0.035496270424619926,0.0
2008-04-28,23,0,2008-11-18 15:39:07.826086912,2008-11-20,0.0344280903768795,0.0
2008-05-06,23,0,2008-11-27 17:44:20.869565184,2008-11-28,0.033442377628344754,0.0
2008-05-14,23,0,2008-12-05 19:49:33.913043456,2008-12-07,0.03250887771171998,0.0
2008-05-22,23,0,2008-12-14 06:15:39.130434816,2008-12-15,0.03166735415266707,0.0
2008-05-29,23,0,2008-12-21 02:05:13.043478272,2008-12-22,0.031033542089195957,0.0
2008-06-05,23,0,2008-12-26 18:46:57.391304448,2008-12-29,0.030521155766299605,0.0
2008-06-12,23,0,2008-12-27 00:00:00.000000000,2009-01-05,0.030486257433040922,0.0
2008-06-19,23,0,2008-12-30 09:23:28.695652096,2009-01-12,0.03043956866805645,0.0
2008-06-26,23,0,2008-12-29 17:44:20.869565184,2009-01-19,0.030779367925240532,0.0
2008-07-03,23,0,2009-01-02 09:23:28.695652096,2009-01-26,0.03150002948074205,0.0
2008-07-11,23,0,2008-12-29 22:57:23.478260992,2008-11-26,0.03219849794823103,0.0
2008-07-18,23,0,2009-01-03 01:02:36.521739008,2008-12-03,0.03292425048839394,0.0
2008-07-25,23,0,2008-12-31 08:20:52.173913088,2008-12-10,0.03304188739983529,0.0
2008-08-04,23,0,2009-01-05 22:57:23.478260992,2008-12-21,0.032894574811914365,0.0
2008-08-11,23,0,2009-01-02 00:00:00.000000000,2008-10-17,0.032663034328120254,0.0
2008-08-18,23,0,2009-01-07 01:02:36.521739008,2008-10-16,0.0322870315339228,0.0
2008-08-25,23,0,2009-01-13 21:54:46.956521728,2008-11-13,0.032096267516270996,0.0
2008-09-01,23,0,2009-01-22 09:23:28.695652096,2008-12-05,0.031974408993209226,0.0
2008-09-08,23,0,2009-02-01 09:23:28.695652096,2008-12-18,0.03189903978090583,0.0
2008-09-16,23,0,2009-01-31 11:28:41.739130368,2008-12-25,0.03182491090681695,0.0
2008-09-23,23,0,2009-02-04 02:05:13.043478272,2009-01-02,0.03208295726435193,0.0
2008-09-30,23,0,2009-01-29 04:10:26.086956544,2008-12-26,0.032192785693598736,0.0
2008-10-07,23,0,2009-01-22 06:15:39.130434816,2009-01-03,0.03270494111260977,0.0
2008-10-14,23,0,2009-01-24 19:49:33.913043456,2009-01-25,0.036007673185686026,0.0
2008-10-21,23,0,2008-12-13 07:18:15.652173824,2008-10-22,0.03787072027564693,0.0
2008-10-29,23,0,2008-10-30 13:33:54.782608640,2008-10-30,0.03950892146961464,0.0
2008-11-05,23,0,2008-12-07 21:54:46.956521728,2008-11-12,0.04213325112070292,0.0
2008-11-12,23,0,2008-12-06 15:39:07.826086912,2008-11-27,0.04262440273430513,0.0
2008-11-19,23,0,2008-12-07 01:02:36.521739008,2008-12-09,0.04245417507293664,0.0
2008-11-26,23,0,2008-12-12 08:20:52.173913088,2008-12-16,0.04275117026418058,0.0
2008-12-03,23,0,2008-12-17 18:46:57.391304448,2008-12-23,0.04322574049623359,0.0
2008-12-10,23,0,2008-12-28 03:07:49.565217280,2009-01-06,0.04488871775213202,0.0
2008-12-17,23,0,2009-01-08 16:41:44.347826176,2009-01-18,0.046378567260094365,0.0
2008-12-24,23,0,2009-01-28 21:54:46.956521728,2009-01-30,0.047449016845259304,0.0
2009-01-06,23,0,2009-02-26 13:33:54.782608640,2009-02-04,0.04950558997096083,0.0
2009-01-13,23,0,2009-03-13 14:36:31.304347904,2009-02-26,0.050874527253392324,0.0
2009-01-20,23,0,2009-03-26 02:05:13.043478272,2009-03-18,0.050564299115682235,0.0
2009-01-27,23,0,2009-03-30 05:13:02.608695552,2009-03-21,0.05038236212576727,0.0
2009-02-03,23,0,2009-04-11 01:02:36.521739008,2009-04-09,0.05044473313310095,0.0
2009-02-10,23,0,2009-05-04 11:28:41.739130368,2009-05-18,0.05101013559802488,0.0
2009-02-18,23,0,2009-05-19 09:23:28.695652096,2009-05-25,0.0509089387879776,0.0
2009-02-25,23,0,2009-05-29 01:02:36.521739008,2009-06-05,0.05057003313916238,0.0
2009-03-04,23,0,2009-05-30 14:36:31.304347904,2009-06-04,0.05031443498371665,0.0
2009-03-11,23,0,2009-05-30 06:15:39.130434816,2009-06-07,0.050032136194200494,0.0
2009-03-18,23,0,2009-06-09 00:00:00.000000000,2009-05-18,0.050043057493973524,0.0
2009-03-25,23,0,2009-06-13 08:20:52.173913088,2009-05-15,0.05042854746226681,0.0
2009-04-01,23,0,2009-07-02 07:18:15.652173824,2009-05-27,0.05062650530052356,0.0
2009-04-08,23,0,2009-07-31 01:02:36.521739008,2009-06-21,0.051974842681137404,0.0
2009-04-17,23,0,2009-10-06 16:41:44.347826176,2009-10-23,0.0535838403717134,0.0
2009-04-24,23,0,2009-11-11 10:26:05.217391360,2009-11-07,0.05429335092393268,0.0
2009-05-04,23,0,2009-11-24 01:02:36.521739008,2009-11-19,0.05578368784081753,0.0
2009-05-11,23,0,2009-12-04 00:00:00.000000000,2009-12-05,0.05839038054278392,0.0
2009-05-18,23,0,2009-12-11 13:33:54.782608640,2009-12-12,0.0602307354085624,0.0
2009-05-26,23,0,2009-12-20 03:07:49.565217280,2009-12-21,0.06160157493383588,0.0
2009-06-03,23,0,2009-12-24 10:26:05.217391360,2009-12-29,0.06317191189263642,0.0
2009-06-10,23,0,2009-12-30 21:54:46.956521728,2010-01-05,0.06431192584038951,0.0
2009-06-17,23,0,2010-01-11 17:44:20.869565184,2010-01-12,0.06389427828868681,0.0
2009-06-24,23,0,2010-01-18 12:31:18.260869632,2010-01-19,0.06327477922037303,0.0
2009-07-01,23,0,2010-01-25 10:26:05.217391360,2010-01-26,0.0626060914844801,0.0
2009-07-08,23,0,2010-02-01 07:18:15.652173824,2010-02-02,0.0613479621841784,0.0
2009-07-15,23,0,2010-02-08 05:13:02.608695552,2010-02-09,0.06032488782944194,0.0
2009-07-22,23,0,2010-02-15 01:02:36.521739008,2010-02-16,0.06038031836986778,0.0
2009-07-29,23,0,2010-02-21 22:57:23.478260992,2010-02-23,0.0609172393987895,0.0
2009-08-05,23,0,2010-02-26 02:05:13.043478272,2010-03-02,0.06189738704830086,0.0
2009-08-12,23,0,2010-03-04 15:39:07.826086912,2010-03-09,0.06278125610008412,0.0
2009-08-19,23,0,2010-03-11 04:10:26.086956544,2010-03-16,0.06304530921146988,0.0
2009-08-26,23,0,2010-03-14 03:07:49.565217280,2010-03-23,0.06373152042924782,0.0
2009-09-02,23,0,2010-03-16 06:15:39.130434816,2010-03-30,0.06363459160155506,0.0
2009-09-10,23,0,2010-03-23 19:49:33.913043456,2010-04-07,0.0633077055983655,0.0
2009-09-17,23,0,2010-03-29 19:49:33.913043456,2010-04-12,0.0638599565083117,0.0
2009-09-24,23,0,2010-04-05 06:15:39.130434816,2010-04-19,0.06383580761653491,0.0
2009-10-01,23,0,2010-04-12 05:13:02.608695552,2010-04-26,0.06307522624707626,0.0
2009-10-08,23,0,2010-04-19 06:15:39.130434816,2010-05-03,0.06213882499443035,0.0
2009-10-15,23,0,2010-04-26 16:41:44.347826176,2010-05-10,0.061664316414542855,0.0
2009-10-22,23,0,2010-04-27 19:49:33.913043456,2010-05-17,0.06133609307142061,0.0
2009-10-29,23,0,2010-05-04 14:36:31.304347904,2010-05-24,0.05997825847826523,0.0
2009-11-05,23,0,2010-05-11 18:46:57.391304448,2010-05-31,0.05850280464131686,0.0
2009-11-12,23,0,2010-05-18 10:26:05.217391360,2010-06-07,0.057764319688510354,0.0
2009-11-19,23,0,2010-05-24 22:57:23.478260992,2010-06-14,0.05733433372803589,0.0
2009-11-26,23,0,2010-06-01 02:05:13.043478272,2010-06-21,0.0564390489662755,0.0
2009-12-03,23,0,2010-06-07 19:49:33.913043456,2010-06-28,0.05554312674340485,0.0
2009-12-10,23,0,2010-06-17 00:00:00.000000000,2010-07-04,0.05493953173794207,0.0
2009-12-17,23,0,2010-06-24 16:41:44.347826176,2010-07-11,0.05453402081361415,0.0
2009-12-24,23,0,2010-06-24 13:33:54.782608640,2010-07-18,0.054122809299304415,0.0
2010-01-04,23,0,2010-07-05 05:13:02.608695552,2010-07-30,0.05341519550653922,0.0
2010-01-11,23,0,2010-07-09 01:02:36.521739008,2010-08-06,0.05378225888054996,0.0
2010-01-18,23,0,2010-07-16 16:41:44.347826176,2010-08-13,0.05406546512667256,0.0
2010-01-25,23,0,2010-07-23 07:18:15.652173824,2010-08-20,0.05394020321442825,0.0
2010-02-01,23,0,2010-07-31 14:36:31.304347904,2010-08-26,0.05350556147707799,0.0
2010-02-08,23,0,2010-08-15 21:54:46.956521728,2010-09-02,0.05323509057743779,0.0
2010-02-15,23,0,2010-08-31 04:10:26.086956544,2010-09-09,0.05301912245649413,0.0
2010-02-22,23,0,2010-09-14 00:00:00.000000000,2010-09-16,0.0525733589085046,0.0
2010-03-01,23,0,2010-09-19 15:39:07.826086912,2010-09-23,0.05201436030418982,0.0
2010-03-08,23,0,2010-09-23 16:41:44.347826176,2010-09-30,0.052166735578631517,0.0
2010-03-15,23,0,2010-09-28 18:46:57.391304448,2010-10-07,0.05208423428676889,0.0
2010-03-22,23,0,2010-09-29 07:18:15.652173824,2010-10-14,0.05211796411358525,0.0
2010-03-29,23,0,2010-09-25 15:39:07.826086912,2010-09-03,0.052061453646038175,0.0
2010-04-07,23,0,2010-09-27 16:41:44.347826176,2010-09-01,0.05208906676345366,0.0
2010-04-14,23,0,2010-10-07 14:36:31.304347904,2010-09-08,0.05220484405742142,0.0
2010-04-21,23,0,2010-10-01 06:15:39.130434816,2010-08-27,0.05213875565909141,0.0
2010-04-28,23,0,2010-09-26 21:54:46.956521728,2010-08-13,0.05175282247245685,0.0
2010-05-05,23,0,2010-09-17 22:57:23.478260992,2010-07-18,0.05150451019284971,0.0
2010-05-12,23,0,2010-09-07 11:28:41.739130368,2010-07-13,0.05169149024578234,0.0
2010-05-20,23,0,2010-09-12 17:44:20.869565184,2010-07-15,0.05176803555634568,0.0
2010-05-28,23,0,2010-09-12 09:23:28.695652096,2010-07-23,0.05230458686460561,0.0
2010-06-04,23,0,2010-09-19 10:26:05.217391360,2010-07-25,0.05230468186653415,0.0
2010-06-11,23,0,2010-09-17 03:07:49.565217280,2010-07-27,0.05244866914487198,0.0
2010-06-18,23,0,2010-09-22 10:26:05.217391360,2010-07-28,0.05208999569016024,0.0
2010-06-25,23,0,2010-09-20 09:23:28.695652096,2010-07-29,0.051680912094355554,0.0
2010-07-02,23,0,2010-09-20 21:54:46.956521728,2010-07-26,0.05180301097757687,0.0
2010-07-09,23,0,2010-10-05 02:05:13.043478272,2010-07-28,0.05164978372800378,0.0
2010-07-19,23,0,2010-10-15 06:15:39.130434816,2010-08-02,0.05095665565266038,0.0
2010-07-26,23,0,2010-10-07 06:15:39.130434816,2010-08-01,0.05021613900696549,0.0
2010-08-02,23,0,2010-10-24 06:15:39.130434816,2010-08-06,0.04957159846827991,0.0
2010-08-09,23,0,2010-10-28 17:44:20.869565184,2010-10-13,0.048991360368916756,0.0
2010-08-16,23,0,2010-11-11 09:23:28.695652096,2010-10-23,0.04840445254359945,0.0
2010-08-23,23,0,2010-11-16 12:31:18.260869632,2010-10-17,0.04781037989874913,0.0
2010-08-30,23,0,2010-11-28 02:05:13.043478272,2010-11-08,0.0475092674579864,0.0
2010-09-06,23,0,2010-12-08 17:44:20.869565184,2010-11-19,0.04710267467330485,0.0
2010-09-13,23,0,2010-12-19 06:15:39.130434816,2010-11-27,0.046411529045132516,0.0
2010-09-20,23,0,2011-01-06 11:28:41.739130368,2011-01-16,0.045816875430579954,0.0
2010-09-27,23,0,2011-01-24 06:15:39.130434816,2011-02-01,0.04523886482694111,0.0
2010-10-04,23,0,2011-01-24 19:49:33.913043456,2011-01-09,0.04477780627203248,0.0
2010-10-11,23,0,2011-01-30 19:49:33.913043456,2011-01-13,0.04423333360387037,0.0
